,Region,Variable,Var_uid,Unit,Year,Value
5,PRT,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.08158755414125342
6,PRT,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.10695344167897868
7,PRT,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.11550081448649469
8,PRT,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.12571109722064377
9,PRT,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.5198957267871349
0,ROU,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,0.0
1,ROU,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,9.045314129287208e-07
2,ROU,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,4.3779320385750084e-05
3,ROU,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.0010928548531004805
4,ROU,Forest cover fraction >0.4 to <= 0.5,forest_cover_fraction,Percentage share,2020,0.010310391763409317
5,ROU,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.030119448800265715
6,ROU,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.04008593772047953
7,ROU,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.0456292680314719
8,ROU,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.054683808381170984
9,ROU,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.8180372247239551
0,SVN,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,0.0
1,SVN,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,0.0
2,SVN,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,2.569480354716763e-05
3,SVN,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.0011198651879307225
4,SVN,Forest cover fraction >0.4 to <= 0.5,forest_cover_fraction,Percentage share,2020,0.010472773679099741
5,SVN,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.029421620678321398
6,SVN,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.03943724097764445
7,SVN,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.04612431360079483
8,SVN,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.05840750031315542
9,SVN,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.8149909907595062
0,ESP,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,6.208030824172398e-06
1,ESP,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,5.486166774850026e-06
2,ESP,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,0.00011607573913103738
3,ESP,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.003113832763156983
4,ESP,Forest cover fraction >0.4 to <= 0.5,forest_cover_fraction,Percentage share,2020,0.023103980762611834
5,ESP,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.06384728706165528
6,ESP,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.08593387263315216
7,ESP,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.09556498277921124
8,ESP,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.10944180851776479
9,ESP,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.6188772935064575
0,SWE,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,3.6317242872797246e-06
1,SWE,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,4.6426166146668645e-06
2,SWE,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,1.9618799242624493e-05
3,SWE,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.0010984655553041222
4,SWE,Forest cover fraction >0.4 to <= 0.5,forest_cover_fraction,Percentage share,2020,0.013842523043477805
5,SWE,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.041125720710068744
6,SWE,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.0547719434397506
7,SWE,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.06453618987043955
8,SWE,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.07969347198682575
9,SWE,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.7449171959374409
0,CHE,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,0.0
1,CHE,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,2.1400994718234502e-06
2,CHE,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,4.70821883801159e-05
3,CHE,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.0013247215730587158
4,CHE,Forest cover fraction >0.4 to <= 0.5,forest_cover_fraction,Percentage share,2020,0.016571860260064887
5,CHE,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.05643870327092803
6,CHE,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.07321280293108023
7,CHE,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.08101132540640489
8,CHE,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.09496905416163742
9,CHE,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.6764223101089738
0,GBR,Forest cover fraction >0 to <= 0.1,forest_cover_fraction,Percentage share,2020,3.3297538479467904e-06
1,GBR,Forest cover fraction >0.1 to <= 0.2,forest_cover_fraction,Percentage share,2020,5.549589746577985e-06
2,GBR,Forest cover fraction >0.2 to <= 0.3,forest_cover_fraction,Percentage share,2020,4.439671797262388e-05
3,GBR,Forest cover fraction >0.3 to <= 0.4,forest_cover_fraction,Percentage share,2020,0.002934623057990438
4,GBR,Forest cover fraction >0.4 to <= 0.5,forest_cover_fraction,Percentage share,2020,0.027241826148002007
5,GBR,Forest cover fraction >0.5 to <= 0.6,forest_cover_fraction,Percentage share,2020,0.08973575628421669
6,GBR,Forest cover fraction >0.6 to <= 0.7,forest_cover_fraction,Percentage share,2020,0.11522280215435074
7,GBR,Forest cover fraction >0.7 to <= 0.8,forest_cover_fraction,Percentage share,2020,0.11669011368334596
8,GBR,Forest cover fraction >0.8 to <= 0.9,forest_cover_fraction,Percentage share,2020,0.11810803386359664
9,GBR,Forest cover fraction >0.9 to <= 1.0,forest_cover_fraction,Percentage share,2020,0.5300035794853866
